delta,size
24669425,51.885
14280311,34.686911
26231389,6.999999
31509359,29.647466
15919722,67.878
17908135,119.051033
16114141,260.345915
15120197,96.650488
8894211,261.025114
21982986,27.10212
20286622,46.300727
7113681,262.515706
7708929,645.336
26159834,90.522496
8279745,97.616613
8856275,57.003
8864305,137.628348
16211853,124.502962
26155487,34.604552
21875943,50.637844
4058070,144.677427
71801524,27.233
12714789,124.411529
3732496,5038.91795
38230497,73.174488
9491583,839
4018643,121.644
44146520,40.512861
15422530,64.355616
9086148,49.182184
5863779,789.046218
163533901,22.667295
48580222,21.83991
30421815,28
27721516,82.656247
5068100,388.206
4871958,717.283
18663244,67.049319
22716680,80.394811
7146309,3177.905
13445829,165.218075
8446122,108.619545
6679946,2316.909282
10184251,94.97954
34174794,51.977
60751098,51.583488
43838654,140.416923
22129424,40.622787
14067546,74.589548
44451772,61.479
48844436,97.454114
16207489,48.294932
36315022,500
15131037,42.333337
8400242,100
25169240,83.994992
4122302,2244.526922
7461861,63.118257
8564136,11.000001
63539568,52.747252
20522040,131.46841
14858676,35.18425
6330144,134.752268
13297666,140.844557
31454529,46.305357
6949703,175.902184
22515973,38.127746
14221664,55.84823
31478100,51.713
65430004,43.012
13076755,241.511664
15176105,266.751138
21975679,28.571231
63958839,69.586079
3196561,214.086264
41877343,32.725552
9171693,85.446311
5310240,3166.707045
56393107,37.631601
14228517,103.096
12615454,296.295792
12450839,93.715967
5982310,1253.701976
6778640,22.72661
9796292,57.376248
40115474,99.999999
5483836,176.107411
14024807,110.05
3019741,8521.177367
15810591,66.247025
27737494,97.61928
4560102,3299.609
32294890,22.689
14441475,103.699743
17427409,58.444514
9663679,90.854462
10584133,183.424299
12792141,132.865
51870517,62.895573
28357118,25
145590332,11.414796
12561809,61.550905
6093372,64.019627
8675402,108.528853
41878340,24.283358
27484896,24
4738382,4497.454783
3442829,7741.869805
8148365,213.102082
4013657,100.062559
10025135,38.782693
37173796,71.953526
13758286,44.290335
31219290,25.339327
13076721,81.495362
22980885,38.634377
27397867,34.573304
9439517,304.798785
21555055,26.89048
7233535,164.512343
113574249,19.857694
57579846,25.827422
4546482,3168.908689
17087216,130.960658
15689396,102.928595
48878280,49.790247
20063624,52.867424
30553439,30.450965
42021278,61.366216
11399654,66.062458
5860508,47.777
11585167,85.934701
17452156,84.447
32282664,51.635
14755785,55.251008
30830142,30
21295133,60.296719
29600344,143.385
17677628,34.422262
6692617,2236.951556
8371046,54.623686
27932168,130.963
5784316,789.046
34261835,32.896
16750021,71.664532
21461467,123.060436
12328071,253.033975
17437240,89.756868
29422000,33.510176
29137992,27.954
5079838,325.856
